T,K B,cm^3/mol TdB/dT,cm^3/mol T^2d^2B/dT^2,cm^3/mol
200.00 -39.3 102 -248
210.00 -34.5 95 -230
220.00 -30.2 89 -214
230.00 -26.4 84 -200
240.00 -22.9 79 -187
250.00 -19.8 75 -176
260.00 -16.9 71 -166
273.15 -13.5 66 -155
280.00 -11.9 64 -130
300.00 -7.7 58 -136
320.00 -4.1 54 -124
340.00 -1.0 50 -114
