,Temperature,Humidity,Sound_speed_20,0.05,0.4625,0.8750000000000001,1.2875,1.7000000000000002,2.1125,2.525,2.9375,3.35,3.7625,4.175,4.5875,5.0
0,0.0,0.0,335.12675542586175,37.11705419138145,57.13221394346994,77.744945422097,89.3054909156971,96.45526520005703,105.7945442944923,114.26442788693988,123.41240814824702,135.36181206126594,146.1988433908803,346.384972622135,0.0,0.0
1,2.0,0.0,349.5760673519555,35.99103948723757,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,41.98459272639334,43.97021721136937,46.04975006461351,50.50851617956232,52.89727214724615,54.5522147967359,57.13221394346994,58.91965086935957
2,4.0,0.0,319.3291914671765,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,40.71091220978629,41.342847853623134,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568,42.63629909197568
3,6.0,0.0,329.31582956225634,37.11705419138145,39.47587115477783,40.71091220978629,43.29812157776688,44.65274545784855,46.04975006461351,48.227632600028514,49.73648103084244,51.29253525353195,52.08872427338086,52.89727214724615,53.718370715593814,54.5522147967359
4,8.0,0.0,320.5791454278091,35.99103948723757,40.71091220978629,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568,43.29812157776688,43.29812157776688,43.97021721136937,43.97021721136937,44.65274545784855,44.65274545784855,44.65274545784855
5,10.0,0.0,342.42320713109916,37.11705419138145,39.47587115477783,42.63629909197568,46.04975006461351,67.68090603063297,78.95174230955568,90.69173651513641,99.47296206168487,109.1044295934718,117.83930173871916,129.24908973679953,143.96415794895032,246.82481629649405
6,12.0,0.0,335.52451383182694,37.11705419138145,38.27829736161054,39.47587115477783,40.08863585839502,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,43.97021721136937,44.65274545784855,45.345868257568206,46.04975006461351
7,14.0,0.0,345.2162885726365,38.27829736161054,41.342847853623134,43.29812157776688,45.345868257568206,48.976246630114034,99.47296206168487,104.17744854676172,107.43674143118763,112.51786787588213,117.83930173871916,123.41240814824702,129.24908973679953,137.46296748158827
8,16.0,0.0,337.70331117713727,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,41.342847853623134,41.342847853623134,41.98459272639334,42.63629909197568,42.63629909197568,43.29812157776688,43.97021721136937,43.97021721136937
9,18.0,0.0,342.87047115534136,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,40.71091220978629,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568,42.63629909197568,43.29812157776688
10,20.0,0.0,337.6102400783929,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.08863585839502,40.71091220978629,41.342847853623134,41.342847853623134,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568
11,22.0,0.0,341.1728299551292,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.71091220978629,41.342847853623134,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.29812157776688,43.97021721136937,44.65274545784855
12,24.0,0.0,350.3113879003559,38.27829736161054,41.98459272639334,43.97021721136937,46.76455788581021,51.29253525353195,109.1044295934718,114.26442788693988,119.66846377345345,127.2734854671727,133.2927733206664,141.76363022611403,153.11318944644216,254.5469709343454
13,26.0,0.0,344.3644484702722,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.08863585839502,40.71091220978629,41.342847853623134,41.342847853623134,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568
14,28.0,0.0,388.0129513620046,35.99103948723757,37.693204129189006,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,40.71091220978629,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568,42.63629909197568
15,30.0,0.0,346.25712535921235,37.11705419138145,38.27829736161054,38.872472711048495,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,42.63629909197568,43.29812157776688,43.97021721136937,43.97021721136937,44.65274545784855
16,32.0,0.0,339.6331038306917,38.27829736161054,43.29812157776688,49.73648103084244,50.50851617956232,50.50851617956232,51.29253525353195,51.29253525353195,52.08872427338086,52.08872427338086,52.89727214724615,52.89727214724615,52.89727214724615,53.718370715593814
17,34.0,0.0,348.29171207885133,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,42.63629909197568,43.29812157776688,43.97021721136937,43.97021721136937
18,36.0,0.0,354.821060762101,37.11705419138145,38.27829736161054,39.47587115477783,40.08863585839502,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855,45.345868257568206,45.345868257568206,46.04975006461351
19,38.0,0.0,377.49886248323816,35.99103948723757,35.99103948723757,36.54971084772008,36.54971084772008,37.11705419138145,37.11705419138145,37.693204129189006,38.27829736161054,38.27829736161054,38.872472711048495,38.872472711048495,39.47587115477783,39.47587115477783
20,40.0,0.0,351.69707796350644,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,42.63629909197568,43.29812157776688,43.97021721136937,43.97021721136937
21,0.0,5.0,334.9180551969257,37.11705419138145,39.47587115477783,41.342847853623134,42.63629909197568,43.29812157776688,45.345868257568206,46.04975006461351,51.29253525353195,153.11318944644216,235.67860347743832,0.0,0.0,0.0
22,2.0,5.0,337.49655615759025,37.11705419138145,57.13221394346994,74.23410838276291,82.68569570724627,92.09950012922702,99.47296206168487,109.1044295934718,116.03809889760873,125.32807879691089,133.2927733206664,146.1988433908803,165.37139141449254,296.9364335310516
23,4.0,5.0,327.92004996876955,37.11705419138145,40.71091220978629,49.73648103084244,52.89727214724615,54.5522147967359,55.39900223305413,56.258933937941066,57.13221394346994,58.01904944880436,58.01904944880436,58.91965086935957,59.83423188672673,59.83423188672673
24,6.0,5.0,326.58441577676734,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,40.71091220978629,41.342847853623134,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568,42.63629909197568
25,8.0,5.0,340.225273877488,37.11705419138145,39.47587115477783,41.342847853623134,42.63629909197568,43.29812157776688,44.65274545784855,46.04975006461351,49.73648103084244,131.25536034840516,139.59673811319595,150.77281651675608,0.0,0.0
