,Temperature,Humidity,Sound_speed_20,0.05,0.6892857142857143,1.3285714285714285,1.9678571428571427,2.6071428571428568,3.246428571428571,3.8857142857142852,4.5249999999999995,5.164285714285714,5.803571428571428,6.442857142857142,7.082142857142856,7.721428571428571,8.360714285714286,9.0
0,0.0,0.0,321.653635196639,35.99103948723757,40.08863585839502,42.63629909197568,43.97021721136937,45.345868257568206,56.258933937941066,56.258933937941066,57.13221394346994,57.13221394346994,58.01904944880436,58.01904944880436,58.91965086935957,58.91965086935957,59.83423188672673,59.83423188672673
1,2.0,0.0,331.46430557852176,35.99103948723757,38.872472711048495,41.342847853623134,43.97021721136937,46.04975006461351,50.50851617956232,57.13221394346994,82.68569570724627,85.27259818395133,86.59624315553374,89.3054909156971,0.0,0.0,0.0,0.0
2,4.0,0.0,340.81951249671545,37.11705419138145,48.227632600028514,63.63674273358635,73.09942169544017,81.42182441957257,89.3054909156971,96.45526520005703,105.7945442944923,116.03809889760873,127.2734854671727,139.59673811319595,157.9034846191113,385.8210608002281,0.0,0.0
3,6.0,0.0,349.8445135495336,37.11705419138145,47.490461320349596,52.08872427338086,54.5522147967359,57.13221394346994,60.76300949937213,62.66403939845544,65.62768017420258,67.68090603063297,69.79836905659798,73.09942169544017,75.38640825837804,78.95174230955568,81.42182441957257,85.27259818395133
4,8.0,0.0,365.6136174769262,35.99103948723757,36.54971084772008,36.54971084772008,37.11705419138145,37.693204129189006,38.27829736161054,38.872472711048495,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,40.71091220978629,41.342847853623134,41.98459272639334,41.98459272639334
5,10.0,0.0,337.21268103197787,37.11705419138145,38.27829736161054,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568,42.63629909197568,43.29812157776688,43.97021721136937,43.97021721136937,44.65274545784855,44.65274545784855
6,12.0,0.0,336.24593988746057,37.11705419138145,38.872472711048495,40.08863585839502,41.342847853623134,42.63629909197568,43.29812157776688,43.97021721136937,45.345868257568206,46.04975006461351,46.76455788581021,47.490461320349596,48.227632600028514,48.976246630114034,50.50851617956232,51.29253525353195
7,14.0,0.0,324.3791926562316,35.99103948723757,36.54971084772008,37.693204129189006,38.27829736161054,38.872472711048495,40.08863585839502,49.73648103084244,50.50851617956232,50.50851617956232,51.29253525353195,51.29253525353195,52.08872427338086,52.08872427338086,52.89727214724615,52.89727214724615
8,16.0,0.0,338.9960796371743,37.11705419138145,39.47587115477783,41.342847853623134,43.29812157776688,45.345868257568206,46.76455788581021,48.976246630114034,51.29253525353195,52.89727214724615,54.5522147967359,56.258933937941066,57.13221394346994,58.91965086935957,59.83423188672673,61.70620407412351
9,18.0,0.0,340.42487494596423,37.11705419138145,38.872472711048495,40.08863585839502,41.342847853623134,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855,45.345868257568206,46.04975006461351,46.76455788581021,48.227632600028514,48.976246630114034,49.73648103084244,50.50851617956232
