,Temperature,Humidity,Sound_speed_20,0.05,0.6000000000000001,1.1500000000000001,1.7000000000000002,2.25,2.8,3.35,3.9000000000000004,4.45,5.0
0,0.0,0.0,344.98943909880313,38.27829736161054,43.97021721136937,46.76455788581021,49.73648103084244,52.08872427338086,54.5522147967359,57.13221394346994,60.76300949937213,62.66403939845544,66.6463866603332
1,2.0,0.0,346.02347624129055,37.11705419138145,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.342847853623134,41.98459272639334,42.63629909197568
2,4.0,0.0,353.29981678389606,35.99103948723757,36.54971084772008,37.693204129189006,38.27829736161054,38.872472711048495,39.47587115477783,40.08863585839502,40.71091220978629,41.98459272639334,42.63629909197568
3,6.0,0.0,322.2977417233063,37.11705419138145,38.27829736161054,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.342847853623134,41.98459272639334,42.63629909197568,42.63629909197568
4,8.0,0.0,341.00398997865835,37.11705419138145,40.08863585839502,43.29812157776688,45.345868257568206,51.29253525353195,59.83423188672673,129.24908973679953,139.59673811319595,150.77281651675608,232.07619779521747
5,10.0,0.0,326.24617160104754,35.99103948723757,38.872472711048495,41.98459272639334,48.976246630114034,49.73648103084244,50.50851617956232,51.29253525353195,51.29253525353195,51.29253525353195,52.08872427338086
6,12.0,0.0,335.02491795308134,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855
7,14.0,0.0,341.7544947303162,37.11705419138145,38.27829736161054,38.872472711048495,40.08863585839502,40.08863585839502,40.71091220978629,41.342847853623134,41.342847853623134,41.98459272639334,42.63629909197568
8,16.0,0.0,337.5688916105327,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855
9,18.0,0.0,339.85819975339086,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855,45.345868257568206
10,20.0,0.0,345.6600460880062,37.11705419138145,38.872472711048495,40.71091220978629,41.98459272639334,43.29812157776688,44.65274545784855,46.04975006461351,49.73648103084244,52.89727214724615,56.258933937941066
11,22.0,0.0,341.183388005199,37.11705419138145,38.872472711048495,40.08863585839502,41.342847853623134,42.63629909197568,43.29812157776688,44.65274545784855,45.345868257568206,46.04975006461351,46.76455788581021
12,24.0,0.0,360.037380894978,35.99103948723757,37.693204129189006,38.872472711048495,40.08863585839502,41.342847853623134,42.63629909197568,44.65274545784855,46.76455788581021,50.50851617956232,54.5522147967359
