,Temperature,Humidity,Sound_speed_20,0.05,0.6687500000000001,1.2875,1.9062500000000002,2.525,3.14375,3.7625,4.38125,5.0
0,0.0,0.0,352.95050336885504,35.99103948723757,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,41.98459272639334,43.97021721136937,47.490461320349596,50.50851617956232
1,2.0,0.0,329.0848307563728,37.11705419138145,39.47587115477783,41.342847853623134,43.29812157776688,44.65274545784855,46.04975006461351,47.490461320349596,49.73648103084244,51.29253525353195
2,4.0,0.0,346.5564391915255,36.54971084772008,40.08863585839502,43.97021721136937,47.490461320349596,50.50851617956232,54.5522147967359,58.91965086935957,64.62454486839977,67.68090603063297
3,6.0,0.0,325.9423503325943,39.47587115477783,46.04975006461351,52.89727214724615,53.718370715593814,54.5522147967359,55.39900223305413,55.39900223305413,56.258933937941066,57.13221394346994
4,8.0,0.0,340.1413013297134,37.11705419138145,40.08863585839502,42.63629909197568,43.97021721136937,46.04975006461351,133.2927733206664,146.1988433908803,250.65615759382177,0.0
5,10.0,0.0,342.72125338058385,38.27829736161054,43.29812157776688,46.76455788581021,97.95249326022807,105.7945442944923,112.51786787588213,121.52601899874426,131.25536034840516,141.76363022611403
6,12.0,0.0,335.23884817709126,37.11705419138145,38.872472711048495,40.08863585839502,40.71091220978629,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855
7,14.0,0.0,331.35970185140667,37.693204129189006,41.98459272639334,43.29812157776688,44.65274545784855,46.04975006461351,46.76455788581021,47.490461320349596,48.976246630114034,49.73648103084244
8,16.0,0.0,337.465564738292,37.11705419138145,38.872472711048495,40.08863585839502,40.71091220978629,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855
9,18.0,0.0,339.02214022140214,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937
10,20.0,0.0,364.7823713335649,36.54971084772008,47.490461320349596,50.50851617956232,52.08872427338086,52.89727214724615,54.5522147967359,55.39900223305413,57.13221394346994,58.91965086935957
11,22.0,0.0,341.3788298679383,37.11705419138145,38.872472711048495,40.08863585839502,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,45.345868257568206
12,24.0,0.0,357.77372858697396,35.99103948723757,37.693204129189006,40.08863585839502,41.342847853623134,43.97021721136937,46.76455788581021,53.718370715593814,58.01904944880436,66.6463866603332
13,26.0,0.0,343.7685136104268,37.11705419138145,38.872472711048495,40.08863585839502,40.71091220978629,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855
14,28.0,0.0,358.326833073323,36.54971084772008,47.490461320349596,67.68090603063297,73.09942169544017,76.55659472322108,81.42182441957257,85.27259818395133,89.3054909156971,93.52911577162043
15,30.0,0.0,348.0113636363636,37.11705419138145,38.27829736161054,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688
16,32.0,0.0,347.3589691078939,38.27829736161054,67.68090603063297,70.88181511305702,73.09942169544017,74.23410838276291,76.55659472322108,77.744945422097,78.95174230955568,81.42182441957257
17,34.0,0.0,349.0415209029174,37.11705419138145,38.27829736161054,39.47587115477783,40.08863585839502,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.29812157776688
18,36.0,0.0,353.71115994802614,37.11705419138145,38.872472711048495,40.08863585839502,41.342847853623134,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855,45.345868257568206
19,38.0,0.0,346.9981902588716,38.872472711048495,44.65274545784855,46.76455788581021,48.227632600028514,49.73648103084244,50.50851617956232,52.08872427338086,53.718370715593814,54.5522147967359
20,40.0,0.0,352.86775060811675,37.11705419138145,38.27829736161054,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,42.63629909197568,42.63629909197568
21,0.0,5.0,353.4248099509667,35.99103948723757,37.693204129189006,38.872472711048495,40.08863585839502,41.98459272639334,43.29812157776688,44.65274545784855,46.04975006461351,47.490461320349596
22,2.0,5.0,332.45382585751975,37.693204129189006,41.98459272639334,46.04975006461351,59.83423188672673,0.0,0.0,0.0,0.0,0.0
23,4.0,5.0,333.2124399310908,38.27829736161054,46.04975006461351,57.13221394346994,64.62454486839977,70.88181511305702,80.17727171679005,0.0,0.0,0.0
24,6.0,5.0,337.61540934911415,37.11705419138145,38.27829736161054,39.47587115477783,40.08863585839502,40.71091220978629,41.342847853623134,41.98459272639334,41.98459272639334,42.63629909197568
25,8.0,5.0,329.66540083126523,40.08863585839502,44.65274545784855,46.76455788581021,48.227632600028514,49.73648103084244,51.29253525353195,52.89727214724615,53.718370715593814,69.79836905659798
26,10.0,5.0,345.71424091814185,37.11705419138145,41.342847853623134,43.29812157776688,46.04975006461351,81.42182441957257,86.59624315553374,90.69173651513641,96.45526520005703,101.01703235912464
27,12.0,5.0,351.4958681126057,35.99103948723757,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,81.42182441957257,83.96918545278668,86.59624315553374,89.3054909156971
28,14.0,5.0,357.89063641232894,36.54971084772008,38.872472711048495,52.08872427338086,54.5522147967359,57.13221394346994,58.91965086935957,60.76300949937213,62.66403939845544,64.62454486839977
29,16.0,5.0,362.675187440714,35.99103948723757,36.54971084772008,37.11705419138145,37.693204129189006,38.27829736161054,38.872472711048495,39.47587115477783,39.47587115477783,40.08863585839502
30,18.0,5.0,341.07256106049596,37.11705419138145,38.872472711048495,39.47587115477783,40.71091220978629,41.342847853623134,42.63629909197568,43.29812157776688,43.29812157776688,43.97021721136937
31,20.0,5.0,362.75857023181743,35.99103948723757,37.693204129189006,39.47587115477783,41.98459272639334,43.97021721136937,47.490461320349596,50.50851617956232,52.89727214724615,54.5522147967359
32,22.0,5.0,341.553331887605,37.11705419138145,38.872472711048495,40.08863585839502,40.71091220978629,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855
33,24.0,5.0,364.11804396239353,35.99103948723757,37.693204129189006,39.47587115477783,40.71091220978629,43.97021721136937,47.490461320349596,52.08872427338086,54.5522147967359,57.13221394346994
34,26.0,5.0,343.5007477567297,37.11705419138145,38.27829736161054,39.47587115477783,40.71091220978629,41.342847853623134,42.63629909197568,43.29812157776688,43.97021721136937,44.65274545784855
35,28.0,5.0,381.422544808149,35.99103948723757,36.54971084772008,36.54971084772008,37.11705419138145,37.693204129189006,38.27829736161054,38.27829736161054,38.872472711048495,38.872472711048495
36,30.0,5.0,346.49653503464964,37.11705419138145,38.872472711048495,40.08863585839502,41.342847853623134,41.98459272639334,42.63629909197568,43.29812157776688,43.97021721136937,45.345868257568206
